,Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_Beverages,Inflight_Entertainment,Ground_Service,Wifi_Connectivity,Value_For_Money,Recommended
118,Boeing 777-300,Business,Economy Class,Miami to Bangkok via Istanbul,July 2023,1,1,,,1,,1,no
119,,Solo Leisure,Economy Class,London to Ankara via Istanbul,June 2023,1,1,1,1,1,1,1,no
120,,Family Leisure,Economy Class,Delhi to Atlanta via Istanbul,July 2023,3,1,1,2,3,1,1,no
121,A320 neo,Business,Economy Class,Stockholm to Jeddah via Istanbul,July 2023,1,,,,2,,2,no
122,,Solo Leisure,Business Class,Denpasar to İstanbul,March 2023,2,1,2,3,3,3,1,no
123,A330-300,Couple Leisure,Economy Class,Tashkent to London via Istanbul,July 2023,1,2,3,2,3,,3,no
124,,Solo Leisure,Business Class,Hanoi to Amsterdam via Istanbul,July 2023,1,1,1,,1,4,1,no
125,Boeing 777-300ER,Business,Economy Class,Beijing to Athens via Istanbul,July 2023,1,1,,,1,,1,no
126,,Couple Leisure,Economy Class,Istanbul to Kuala Lumpar,July 2023,1,1,1,1,1,1,1,no
127,,Business,Economy Class,Istanbul to Johannesbutg,July 2023,1,1,1,1,1,1,1,no
128,A350,Family Leisure,Economy Class,Tallinn to Jakarta via Istanbul,July 2023,3,2,3,5,3,2,4,yes
129,A330,Solo Leisure,Business Class,Birmingham to Ho Chi Minh City via Istanbul,July 2023,4,3,3,,1,,2,no
130,A321,Family Leisure,Business Class,Berlin to Tel Aviv via Istanbul,March 2023,3,2,1,3,1,3,1,no
131,Boeing 777,Couple Leisure,Economy Class,Chicago to Istanbul,July 2023,1,2,1,,3,,2,no
132,,Solo Leisure,Economy Class,Dubai to Casablanca via Istanbul,July 2023,1,1,2,2,1,,1,no
133,,Business,Economy Class,Cologne to Istanbul,July 2023,1,1,,,1,,1,no
134,,Family Leisure,Economy Class,Islamabad to Montreal via Istanbul,July 2023,1,1,2,2,1,1,1,no
135,,Couple Leisure,Business Class,Zurich to Karachi via Istanbul,July 2023,4,4,2,3,1,,1,no
136,,Solo Leisure,Economy Class,Tbilisi to Berlin via Istanbul,June 2023,1,1,2,,1,,2,no
137,,Couple Leisure,Economy Class,Singapore to Amsterdam via Istanbul,June 2023,2,2,2,2,1,2,1,no
138,,Family Leisure,Economy Class,Athens to Los Angeles via Istanbul,June 2023,1,1,3,2,1,1,1,no
139,Boeing 737,Couple Leisure,Economy Class,Kayseri to Istanbul,June 2023,3,1,2,3,1,,3,no
140,Boeing 737,Family Leisure,Business Class,Istanbul to Rize,June 2023,3,3,4,2,1,1,1,no
141,,Business,Economy Class,Riyadh to London via Sabiha,June 2023,1,1,1,1,1,1,1,no
142,A330-300,Couple Leisure,Business Class,Istanbul to Bangkok,June 2023,5,5,5,5,5,5,5,yes
143,Airbus,Business,Business Class,Boston to Kuala Lumpur via Istanbul,June 2023,2,4,4,4,2,1,2,no
144,Boeing 73M,Solo Leisure,Economy Class,Antalya to Istanbul,June 2023,3,3,,,1,,3,no
145,,Solo Leisure,Premium Economy,Beirut to Istanbul via San Francisco,June 2023,1,1,3,1,1,1,2,no
146,A320,Solo Leisure,Economy Class,Addis Ababa to Lyon via Istanbul,June 2023,2,1,1,2,1,,1,no
147,Boeing 777-300,Family Leisure,Business Class,Istanbul to London,June 2023,5,5,5,5,5,5,5,yes
148,A350,Couple Leisure,Business Class,Istanbul to Buenos Aires via São Paulo,June 2023,3,3,5,3,1,4,3,yes
149,,Family Leisure,Economy Class,Brisbane to Dubrovnik via Istanbul,June 2023,,,,,1,,1,no
150,,Solo Leisure,Economy Class,Istanbul to Atina,May 2023,5,5,5,5,5,5,5,yes
151,A320,Couple Leisure,Economy Class,Antaya to Prague via Istanbul,May 2023,4,4,4,,1,,3,no
152,Boeing 787-9,Family Leisure,Business Class,Los Angeles to Istanbul,May 2023,5,4,4,5,1,5,3,yes
153,,Couple Leisure,Economy Class,Katowice to Panama City via Istanbul,March 2023,,,,,,,1,no
154,,Solo Leisure,Business Class,Los Angeles to Istanbul,April 2023,3,3,3,3,1,4,1,no
155,,Business,Economy Class,New Yok to Zanzibar via Istanbul,May 2023,4,3,5,,1,5,1,no
156,,Family Leisure,Economy Class,Istanbul to Berlin,April 2023,2,1,1,,1,,1,no
157,A359,Business,Business Class,Singapore to Istanbul,April 2023,5,4,5,5,5,3,5,yes
158,,Solo Leisure,Economy Class,Istanbul to Madrid,May 2023,2,2,2,2,1,2,1,no
159,A350 / Boeing 787,Solo Leisure,Business Class,Montreal to Denpasar via Istanbul,April 2023,4,2,4,4,4,4,4,yes
160,A321NEO,Couple Leisure,Economy Class,Lisbon to Istanbul,May 2023,4,4,4,5,1,,4,yes
161,,Couple Leisure,Economy Class,New York to Istanbul,May 2023,1,1,1,1,1,1,1,no
162,,Couple Leisure,Business Class,USA to Turkey,May 2023,3,3,,,1,,1,no
163,Boeing 777,Couple Leisure,Economy Class,New York to Belgrade via Istanbul,May 2023,1,1,1,1,1,1,5,no
164,,Family Leisure,Economy Class,Canada to Delhi via Istanbul,April 2023,3,2,1,1,2,,2,no
165,Boeing 777,Business,Business Class,Delhi to Amsterdam via Istanbul,May 2023,1,2,,,1,,1,no
166,A321,Business,Economy Class,Nice to Abu Dhabi via Istanbul,April 2023,1,4,4,4,3,1,1,no
167,,Couple Leisure,Economy Class,Dallas Fort-Worth to Naples via Istanbul,April 2023,2,4,2,3,1,1,3,no
168,,Family Leisure,Economy Class,New York to Istanbul,May 2023,1,1,1,1,1,1,1,no
169,A321,Couple Leisure,Economy Class,Istanbul to Copenhagen,April 2023,1,4,3,5,1,,3,no
170,Boeing 787-900,Family Leisure,Business Class,Seattle to Istanbul to London Heathrow,April 2023,3,2,2,1,2,1,2,no
171,A333,Family Leisure,Economy Class,Istanbul to Bangkok,April 2023,2,1,1,1,2,,1,no
172,,Solo Leisure,Economy Class,Budapest to Istanbul,April 2023,1,1,,,1,,1,no
173,A330,Business,Economy Class,Jeddah to Istanbul,April 2023,2,4,2,,3,1,2,no
174,,Family Leisure,Economy Class,San Francisco to Istanbul,April 2023,1,5,3,3,1,1,1,no
175,,Couple Leisure,Economy Class,Düsseldorf to Istanbul,April 2023,1,3,2,,1,,1,no
