,Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_Beverages,Inflight_Entertainment,Ground_Service,Wifi_Connectivity,Value_For_Money,Recommended
1665,A319 / Boeing 737,Solo Leisure,Economy Class,ZRH to AYT via IST,April 2016,5,5,5,1,5,,5,yes
1666,A330-300,Business,Business Class,GYD to IST,March 2016,4,4,5,4,1,4,4,yes
1667,Boeing 777-300ER,Business,Business Class,IST to IAD,April 2016,4,3,3,3,2,,3,no
1668,,Family Leisure,Economy Class,DUB to BOM via IST,March 2016,4,4,5,4,2,,5,yes
1669,,Solo Leisure,Economy Class,OSL to DAC via IST,November 2015,3,3,3,2,1,,1,no
1670,,Solo Leisure,Economy Class,MAN to BUS via IST,March 2016,3,3,3,3,1,,2,no
1671,,Couple Leisure,Business Class,MLA to JRO via IST,March 2016,1,1,2,,4,,2,no
1672,,Business,Economy Class,DXB to CTA via IST,March 2016,4,4,3,3,2,,3,no
1673,,Family Leisure,Economy Class,LHR to KUL via IST,March 2016,4,4,4,3,4,,4,yes
1674,,Solo Leisure,Economy Class,MUC to BKK via IST,March 2016,3,2,2,3,3,,3,no
1675,A330,Couple Leisure,Economy Class,JFK to MRU via IST,March 2016,4,4,5,3,2,,4,yes
1676,A330,Couple Leisure,Business Class,BHX to BKK via IST,February 2016,4,5,5,4,1,4,4,yes
1677,Boeing 777-300,Solo Leisure,Business Class,IAH to KHI,February 2016,4,5,4,4,5,,5,yes
1678,,Solo Leisure,Economy Class,PRG to IST,December 2015,3,4,5,,5,,4,yes
1679,A321,Business,Economy Class,IST to CAI,March 2016,4,3,2,3,1,,2,yes
1680,Boeing 737-900ER,Business,Economy Class,IST to ALA,March 2016,3,2,3,3,1,,3,yes
1681,Boeing 737-900ER,Business,Economy Class,ALA to IST,March 2016,4,3,3,4,3,,3,yes
1682,Boeing 737-800 / A320,Solo Leisure,Economy Class,EDI to DLM via IST,March 2016,4,2,2,5,2,,4,yes
1683,Boeing 777-300,Couple Leisure,Economy Class,MIA to AYT via IST,March 2016,4,4,5,5,5,,5,yes
1684,,Business,Business Class,ZRH to ICN via IST,March 2016,4,1,3,2,1,,2,no
1685,Boeing 777,Couple Leisure,Business Class,SFO to IST,January 2016,4,5,5,4,4,4,5,yes
1686,A330,Family Leisure,Business Class,BKK to LGW via IST,March 2016,4,3,5,4,2,2,5,yes
1687,A320,Business,Economy Class,TLV to DUS via IST,December 2015,3,3,4,4,3,,3,yes
1688,A330,Couple Leisure,Business Class,MAN to BKK via IST,March 2016,4,5,5,4,4,,4,yes
1689,Boeing 737 /  A330,Solo Leisure,Business Class,LGW to BKK via IST,February 2016,4,3,4,,1,,4,no
1690,A330-200,Couple Leisure,Economy Class,LGW to JNB via IST,March 2016,4,4,5,5,5,,5,yes
1691,Boeing 777-300ER,Business,Economy Class,BOM to BCN via IST,February 2016,5,5,4,5,4,,4,yes
1692,A330,Solo Leisure,Economy Class,KWI to IST,February 2016,4,5,5,3,4,,3,yes
1693,,Couple Leisure,Economy Class,BUD to KUL via IST,February 2016,3,4,3,3,4,1,5,yes
1694,,Business,Economy Class,KUL to IST,March 2016,4,4,4,4,4,4,4,no
1695,,Solo Leisure,Business Class,NRT to ARN via IST,February 2016,,,,,1,,1,yes
1696,"Boeing 737-900, Boeing 777-300",Solo Leisure,Economy Class,DUB to HKG via IST,May 2015,4,4,5,4,3,3,4,yes
1697,Boeing 737-800,Business,Economy Class,DMM to MRS via IST,February 2016,3,3,3,4,1,,2,no
1698,,Family Leisure,Economy Class,LGW to VAR via IST,August 2015,4,5,5,1,4,,5,yes
1699,A330,Solo Leisure,Economy Class,JFK to KBP via IST,February 2016,3,4,5,5,4,,5,yes
1700,,Couple Leisure,Economy Class,JFK to CAI via IST,February 2016,1,1,3,1,1,1,1,no
1701,A321,Solo Leisure,Business Class,BRU to IST,February 2016,4,4,2,2,3,,3,yes
1702,Boeing 777-300ER,Solo Leisure,Economy Class,MIA to IKA via IST,February 2016,1,1,1,,1,,1,no
1703,,Business,Economy Class,PSA to MNL via IST,February 2016,2,3,1,1,1,4,3,no
1704,Boeing 777-300 / 737-800,Solo Leisure,Economy Class,MIA to SKG via IST,January 2016,4,4,5,5,4,5,5,yes
1705,,Solo Leisure,Economy Class,MIA to SKP via IST,February 2016,5,5,5,4,5,,5,yes
1706,Boeing 777-300,Family Leisure,Economy Class,IST to GRU,February 2016,2,1,3,2,1,,1,no
1707,A330,Business,Economy Class,IST to AMS,February 2016,1,1,1,,1,,1,no
1708,,Solo Leisure,Economy Class,NRT to BCN via IST,February 2016,5,5,5,5,5,,5,yes
1709,A330,Couple Leisure,Economy Class,SIN to EDI via IST,January 2016,4,5,4,5,4,,5,yes
1710,,Business,Business Class,CPT to IST,February 2016,1,5,4,1,3,1,1,no
1711,,Solo Leisure,Business Class,CMN to HKG via IST,February 2016,4,4,4,3,4,5,5,yes
1712,,Solo Leisure,Economy Class,IST to LHR,September 2015,3,2,2,3,1,,1,no
1713,,Couple Leisure,Economy Class,KTM to STR via IST,January 2016,3,3,3,3,1,,2,no
1714,A330,Family Leisure,Economy Class,IST to KUL,January 2016,4,5,4,5,4,4,4,yes
1715,A330,Solo Leisure,Economy Class,ESB to IST,January 2016,3,3,4,,1,,2,no
1716,,Couple Leisure,Economy Class,LGW to ICN via IST,July 2015,4,5,5,4,4,2,5,yes
1717,,Family Leisure,Economy Class,BHX to DAC via IST,January 2016,2,2,1,2,1,,2,no
1718,Boeing 737-800,Family Leisure,Economy Class,SAW to FRA,December 2015,4,5,5,2,5,1,3,yes
1719,Boeing 777-300,Couple Leisure,Business Class,IAH to IST,January 2016,5,5,5,5,2,,5,yes
1720,A330 / A321,Solo Leisure,Business Class,MAN to KUL via IST,January 2016,5,5,5,4,5,1,5,yes
1721,A330,Solo Leisure,Business Class,BKK to IST,January 2016,5,5,5,5,2,5,5,yes
1722,Boeing 737-800,Family Leisure,Economy Class,ADD to BRU via IST,January 2016,2,1,3,2,1,,2,no
1723,,Solo Leisure,Economy Class,MCT to MAN via IST,January 2016,,,,,1,,1,no
1724,,Solo Leisure,Economy Class,DEN to KTM via IST,January 2016,3,3,5,5,1,2,2,no
1725,A320,Business,Economy Class,ESB to BOS via IST,January 2016,3,1,2,2,1,,2,no
1726,,Solo Leisure,Economy Class,MAD to DEL via IST,January 2016,3,2,3,3,1,,3,no
1727,A320,Business,Economy Class,IST to AMS,January 2016,3,1,3,1,1,,2,no
1728,Boeing 737-900 / A321-200,Solo Leisure,Economy Class,JRO to HAM via IST,December 2015,2,2,3,2,1,1,3,no
1729,,Family Leisure,Economy Class,ATL to LHR via IST,January 2016,,,,,,,1,no
1730,,Business,Business Class,YYZ to SGN via IST,February 2015,5,5,5,5,5,,4,yes
1731,A321 / A330-200,Business,Economy Class,VCE to CGK via IST,January 2016,4,4,5,4,3,,4,no
1732,Boeing 737-800,Couple Leisure,Economy Class,AGP to IST,January 2016,2,1,1,4,3,,2,no
1733,,Solo Leisure,Economy Class,TLV to MUC via IST,January 2016,3,3,3,3,1,,1,no
1734,,Solo Leisure,Economy Class,LAX to TLV  via IST,January 2016,4,5,,5,5,3,5,yes
1735,,Family Leisure,Economy Class,IST to LHR,January 2016,2,1,1,1,1,,2,no
1736,,Solo Leisure,Economy Class,SFO to FCO via IST,January 2016,1,1,1,1,1,,1,no
1737,Boeing 777-300,Couple Leisure,Economy Class,YYZ to LHE via IST,January 2016,3,4,3,4,2,,3,no
1738,A330,Solo Leisure,Business Class,IST to BKK,January 2016,5,4,5,5,3,5,5,yes
1739,A330,Solo Leisure,Economy Class,TXL to JNB via IST,January 2016,2,2,1,2,1,,1,no
1740,Boeing 777-300ER / A320,Couple Leisure,Economy Class,BRU to ICN via IST,December 2015,4,4,5,4,3,,5,yes
1741,A320 / A330,Solo Leisure,Business Class,VIE to JFK via IST,January 2016,2,1,4,2,1,,2,no
1742,,Solo Leisure,Economy Class,LHR to TBS via IST,January 2016,2,1,,2,1,,2,no
1743,,Solo Leisure,Economy Class,NBO to CPH via IST,January 2016,3,4,4,2,4,,4,yes
1744,A330,Couple Leisure,Economy Class,EDI to SIN via IST,January 2016,4,5,4,4,5,,5,yes
1745,,Family Leisure,Premium Economy,YYZ to SYZ via IST,January 2016,1,4,2,1,1,,2,no
1746,Boeing 777-300ER,Solo Leisure,Business Class,IKA to LAX via IST,January 2016,4,5,5,3,1,4,3,yes
1747,A320 / A330 / Boeing 737-800,Business,Economy Class,BER to IST,January 2016,3,4,5,3,1,,4,yes
1748,,Couple Leisure,Economy Class,ATH to YYZ via IST,January 2016,1,1,2,2,1,,1,no
1749,,Solo Leisure,Economy Class,PRN to LGW via IST,January 2016,3,3,2,3,1,,2,no
1750,A321,Business,Economy Class,AMS to IST,January 2016,2,3,3,2,4,,1,no
1751,,Solo Leisure,Economy Class,SDA to LHR via IST,January 2016,3,2,2,2,1,1,1,no
1752,Boeing 777,Couple Leisure,Economy Class,IAD to SOF via IST,January 2016,1,3,3,3,1,,1,no
1753,,Solo Leisure,Economy Class,IAH to ABV via IST,December 2015,3,3,3,5,3,4,2,no
1754,,Couple Leisure,Economy Class,IST to AQB,January 2016,,,1,,1,,1,no
1755,,Solo Leisure,Economy Class,LHR to NRT via IST,December 2015,3,3,1,5,1,,1,no
1756,,Solo Leisure,Business Class,IKA to JFK via IST,January 2016,2,1,,,1,,1,no
1757,,Solo Leisure,Economy Class,DAC to YYZ via IST,October 2015,3,2,2,2,1,,1,no
1758,,Family Leisure,Economy Class,CPT to LHR via IST,December 2015,3,2,4,,1,,3,no
1759,,Solo Leisure,Economy Class,TPE to LHR via IST,January 2016,1,1,,,1,,1,no
1760,,Business,Business Class,ESB to IAD via IST,December 2015,5,5,5,5,5,5,5,yes
1761,,Family Leisure,Economy Class,IST to LHR,January 2016,3,2,2,,1,,3,no
1762,A330,Solo Leisure,Economy Class,LHR to SIN via IST,January 2016,4,4,5,5,2,4,3,yes
1763,Boeing 777,Family Leisure,Economy Class,SGN to IST via BKK,July 2015,2,2,5,5,4,,3,yes
1764,Boeing 777-300ER,Family Leisure,Business Class,IAH to IST,June 2015,5,5,5,5,5,,5,yes
1765,,Family Leisure,Economy Class,CAI to EDI via IST,December 2015,1,3,4,4,1,,1,no
1766,,Solo Leisure,Economy Class,STR to BOM via IST,December 2015,2,2,2,2,1,,3,no
1767,,Couple Leisure,Economy Class,CAI to AMS via IST,January 2016,3,3,3,2,1,,1,no
1768,,Family Leisure,Economy Class,ATH to NBO via ATH,December 2015,1,1,1,1,1,,1,no
1769,A330,Family Leisure,Economy Class,KHI to BOS via IST,January 2016,4,2,3,2,1,,3,no
1770,,Family Leisure,Economy Class,ISB to LHR via GYD / IST,January 2016,3,1,4,3,1,1,1,no
1771,,Family Leisure,Economy Class,BHX to JNB via IST,January 2016,1,3,3,2,1,2,3,no
1772,,Couple Leisure,Economy Class,IAH to BOM via IST,January 2016,1,1,,1,1,,1,no
1773,A330-200,Couple Leisure,Economy Class,IST to KIX,January 2016,2,1,1,,1,,2,no
1774,Boeing 737,Couple Leisure,Business Class,IST to MAN,January 2016,1,1,1,1,3,,3,no
1775,Boeing 737-800,Family Leisure,Economy Class,IST to MAD,January 2016,3,4,3,,1,,3,no
1776,,Family Leisure,Economy Class,SDA to LHR via IST,January 2016,1,1,1,,1,,1,no
1777,,Solo Leisure,Economy Class,OTP to ABV via IST,December 2015,2,2,4,3,1,,1,no
1778,,Family Leisure,Economy Class,DXB to YYZ via IST,January 2016,1,,,,1,,1,no
1779,,Family Leisure,Economy Class,STR to CAI via IST,January 2016,2,3,3,,1,,1,no
1780,,Solo Leisure,Economy Class,ABV to LGW via IST,January 2016,3,3,,,1,,1,no
1781,,Family Leisure,Economy Class,IKA to LHR via IST,January 2016,3,3,,,1,,3,no
1782,,Business,Economy Class,SOF to MNL via IST,January 2016,1,1,1,2,1,,1,no
1783,,Solo Leisure,Economy Class,LHR to DOH via IST,January 2016,1,1,,,1,,1,no
1784,,Family Leisure,Economy Class,TLV to ACC via IST,January 2016,3,3,,,1,,1,no
1785,,Solo Leisure,Economy Class,MAN to NRT via IST,December 2015,5,2,5,5,2,,5,no
1786,,Family Leisure,Economy Class,LGW to ABV via IST,January 2016,1,1,1,1,1,,1,no
1787,,Solo Leisure,Economy Class,DUB to AUH via IST,January 2016,2,2,2,1,1,,1,no
1788,,Couple Leisure,Economy Class,IKA to AMS via IST,January 2016,3,3,3,2,1,,1,no
1789,,Family Leisure,Economy Class,ESB to TXL via IST,January 2016,2,3,2,1,1,,1,no
1790,,Couple Leisure,Economy Class,PEK to BCN via IST,January 2016,1,1,1,3,1,1,2,no
1791,,Solo Leisure,Economy Class,ATH to LYS via IST,January 2016,4,1,5,4,4,1,2,no
1792,,Solo Leisure,Business Class,DXB to BIO via DXB,January 2016,2,2,1,1,1,1,1,no
1793,,Couple Leisure,Economy Class,IST to TLV,January 2016,1,1,,,1,,1,no
1794,,Couple Leisure,Economy Class,MBA to LHR via ADD/IST,January 2016,2,2,2,2,1,1,1,no
1795,,Family Leisure,Economy Class,ASR to HKG via IST,January 2016,1,1,2,1,1,1,1,no
1796,Boeing 737,Solo Leisure,Economy Class,IST to ATH,January 2016,3,4,3,,2,,3,no
1797,A330-200,Solo Leisure,Business Class,DUB to CGK via IST,December 2015,1,2,2,1,1,,2,yes
1798,,Couple Leisure,Economy Class,CAI to IAD via IST,January 2016,1,1,3,3,1,1,3,no
1799,,Family Leisure,Economy Class,MAN to BKK via IST,January 2016,1,1,4,4,1,,3,no
1800,,Family Leisure,Economy Class,OSL to BAH via IST,January 2016,2,1,1,3,1,,2,no
1801,A330,Couple Leisure,Economy Class,ALG to KUL via IST,January 2016,4,4,2,2,1,,3,no
1802,,Solo Leisure,Economy Class,LHR to IST,December 2015,3,4,4,4,1,4,4,no
1803,A330-300,Business,Business Class,MUC to SIN via IST,January 2016,4,3,4,4,1,4,3,no
1804,,Family Leisure,Economy Class,KWI to LHR via IST,December 2015,4,4,3,4,1,,3,no
1805,,Family Leisure,Economy Class,IST to LGW,January 2016,1,1,1,1,1,,1,no
1806,A330,Solo Leisure,Economy Class,BHX to KUL via IST,December 2015,3,3,4,4,1,1,2,no
1807,A321,Solo Leisure,Economy Class,LHR to GYD via IST,February 2015,5,4,3,,4,,5,yes
1808,,Solo Leisure,Economy Class,IST to LHR,January 2016,1,1,1,1,1,,1,no
1809,,Family Leisure,Economy Class,KWI to YYZ via IST,December 2015,2,2,3,2,1,,1,no
1810,Boeing 737-900,Solo Leisure,Economy Class,IST to LIS,December 2015,4,5,5,4,4,,5,yes
1811,A330,Solo Leisure,Economy Class,KTM to IST via DEL,December 2015,4,5,5,4,3,,5,yes
1812,A330,Solo Leisure,Business Class,IST to AUH,December 2015,3,3,3,3,1,,4,yes
1813,A330 / A321,Solo Leisure,Business Class,BKK to MAN via IST,December 2015,5,5,5,5,5,,5,yes
1814,,Family Leisure,Business Class,AGP to CPT via IST,December 2015,3,4,3,3,4,,3,yes
1815,Boeing 777-300ER,Solo Leisure,Economy Class,TPE to IST,November 2015,5,5,5,4,5,,5,yes
1816,,Solo Leisure,Economy Class,London to Abuja via Istanbul,December 2015,1,1,1,1,1,1,1,no
1817,Boeing 777-300,Solo Leisure,Economy Class,IST to BOM,August 2015,3,5,4,5,4,4,3,yes
1818,,Solo Leisure,Economy Class,CDG to KUL via IST,November 2015,5,5,5,4,2,,5,yes
1819,Boeing 737 / A330,Couple Leisure,Economy Class,BHX to KTM via IST,December 2015,4,4,4,4,5,,5,yes
1820,,Solo Leisure,Premium Economy,MIA to BKK via IST,November 2015,4,3,5,5,3,3,4,yes
1821,A321,Solo Leisure,Economy Class,Lisbon to Istanbul,December 2015,5,5,5,3,5,,5,yes
1822,A330,Solo Leisure,Economy Class,Istanbul to Kathmandu,December 2015,5,5,5,3,5,,5,yes
1823,A340,Couple Leisure,Economy Class,DXB to VCE via IST,November 2015,2,3,3,3,2,,3,yes
1824,,Couple Leisure,Economy Class,ICN to VCE via IST,October 2015,3,3,4,,1,,1,no
1825,A330 / Boeing 737,Business,Business Class,BKK to TBS via IST,December 2015,3,5,4,,3,1,4,yes
1826,A330,Business,Business Class,BRU to SIN via IST,November 2015,4,4,4,4,2,1,2,no
1827,A321,Couple Leisure,Business Class,BRU to IST,December 2015,1,2,3,1,3,1,1,no
1828,Boeing 777-300ER,Couple Leisure,Business Class,HKG to IST,December 2015,5,5,5,5,4,2,4,yes
1829,A340,Couple Leisure,Economy Class,New York to Istanbul,November 2015,3,2,3,3,1,2,2,no
1830,Boeing 777-300ER,Solo Leisure,Economy Class,LGW to ICN via IST,October 2015,5,5,5,5,3,1,5,yes
1831,A320 / A330,Family Leisure,Economy Class,NUE to JED via IST,February 2015,4,5,5,4,5,,4,yes
1832,A319,Solo Leisure,Economy Class,IST to ZAG,November 2015,4,3,5,3,3,,5,yes
1833,A330 / A321,Solo Leisure,Business Class,BRU to IST,November 2015,5,4,2,3,3,3,2,yes
1834,Boeing 737-800,Business,Economy Class,VIE to SAW,November 2015,2,4,5,3,3,,3,yes
1835,A330-200,Business,Business Class,THR to FRA via IST,November 2015,2,2,4,1,1,,2,no
1836,Boeing 777-300,Business,Business Class,Istanbul to Toronto,November 2015,3,4,4,1,4,2,2,no
1837,,Business,Premium Economy,SFO to MXP via IST,November 2015,1,1,,,1,,1,no
1838,,Couple Leisure,Economy Class,BRU to MNL via IST,November 2015,5,5,5,5,5,,5,yes
1839,,Solo Leisure,Business Class,DEL to BOS via IST,November 2015,3,3,3,3,1,1,2,no
1840,A330-300,Family Leisure,Economy Class,Istanbul to Paris,June 2015,5,5,5,5,4,,5,yes
1841,Boeing 737-900,Business,Business Class,ABJ to BEY via IST,November 2015,2,3,4,,3,,1,no
1842,A321,Business,Economy Class,Ankara to Istanbul,November 2015,3,4,3,,3,,3,no
1843,,Solo Leisure,Economy Class,IAH to BUD via IST,October 2015,3,2,5,5,5,4,5,yes
1844,,Family Leisure,Economy Class,RUH to MXP via IST,September 2015,1,1,2,1,1,,3,no
1845,,Solo Leisure,Economy Class,CGK to AMS via IST,August 2015,2,1,3,4,4,1,3,no
1846,,Solo Leisure,Economy Class,LHR to BKK via IST,November 2015,1,2,3,3,1,3,1,no
1847,,Business,Business Class,ORD to DUS via IST,November 2015,1,2,5,4,1,1,1,no
1848,,Business,First Class,Cape Town to London via Istanbul,October 2015,1,2,4,2,4,4,3,no
1849,,Solo Leisure,Economy Class,NUE to ADB via IST,July 2015,3,2,3,1,1,1,1,no
1850,A330,Solo Leisure,Economy Class,NRT to BRU via IST,November 2015,3,3,5,4,4,5,4,yes
1851,A330-200,Business,Economy Class,IST to CMN,November 2015,3,3,3,1,1,,3,yes
1852,A340 / A330,Business,Business Class,JFK to DXB via IST,November 2015,4,3,3,4,2,3,4,yes
1853,A330-300 / A330-200,Solo Leisure,Economy Class,JFK to LHE via IST,October 2015,4,5,4,5,5,,5,yes
1854,,Business,Business Class,IST to IAD,November 2015,4,2,5,4,1,5,3,no
1855,,Solo Leisure,Economy Class,AQJ to IST,November 2015,3,3,3,,1,,3,no
1856,Boeing 737-800,Solo Leisure,Economy Class,SAW to ADB,August 2015,4,4,4,,5,,5,yes
1857,,Family Leisure,Economy Class,BHX to MLE via IST,November 2015,4,1,1,4,1,,1,no
1858,A330,Business,Business Class,YUL to DXB via IST,November 2015,3,4,4,3,4,,2,no
1859,A321,Couple Leisure,Business Class,Munich to Istanbul,November 2015,2,1,3,3,1,,1,no
1860,Several,Business,Economy Class,ZRH to ESB via IST,November 2015,1,3,5,2,1,,1,no
1861,Boeing777-300 ER / A319,Solo Leisure,Economy Class,BOM to TGD via IST,December 2014,5,4,5,5,5,,5,yes
1862,Boeing 737 / A330,Family Leisure,Economy Class,AGP to BKK via IST,November 2015,5,4,5,5,4,,5,yes
1863,,Couple Leisure,Business Class,AMM to KWI via IST,September 2015,3,1,3,3,1,,2,no
1864,A330-200,Solo Leisure,Economy Class,ATH to KIX via IST,October 2015,4,4,4,4,3,,4,yes
1865,Boeing 737,Business,Economy Class,Abuja to Hannover via IST,November 2015,3,2,2,3,3,,2,no
1866,A320,Family Leisure,Economy Class,Bremen to Istanbul,May 2015,5,5,5,,5,,5,yes
1867,,Couple Leisure,Business Class,KUL to IST,October 2015,1,4,4,3,4,2,3,yes
1868,,Solo Leisure,Economy Class,JFK to Catania via IST,October 2015,2,3,4,3,1,,2,no
1869,A330-300,Business,Business Class,Singapore to Kiev via Istanbul,October 2015,3,1,3,5,1,,2,no
1870,,Solo Leisure,Business Class,Moscow to Kathmandu via IST,September 2015,4,4,3,4,3,,5,yes
1871,,Couple Leisure,Economy Class,Copenhagen to Istanbul,May 2015,2,1,2,2,1,,2,no
1872,Boeing 737,Solo Leisure,Economy Class,IST to MLA,October 2015,4,4,5,1,1,,3,yes
1873,Boeing 777,Couple Leisure,Premium Economy,Toronto to Istanbul,October 2015,4,2,4,4,1,,3,yes
1874,,Business,Economy Class,Baku to Istanbul,October 2015,3,3,3,2,1,,3,no
1875,Boeing 737 / A330,Business,Business Class,LHE to JFK via IST,October 2015,1,3,4,2,1,,1,no
1876,Boeing 737,Solo Leisure,Economy Class,LGW to TBS via SAW,September 2015,4,3,2,,3,,4,yes
1877,Boeing 737,Couple Leisure,Business Class,Nairobi to Istanbul,October 2015,3,5,3,,4,,4,yes
1878,,Business,Business Class,Istanbul to Llibreville,October 2015,4,3,2,3,2,2,3,no
1879,Boeing 777-300,Business,Premium Economy,ICN to YYZ via IST,October 2015,4,4,5,4,1,1,2,no
1880,,Business,Business Class,YYZ to FCO via IST,October 2015,5,5,5,5,4,2,5,yes
1881,,Family Leisure,Economy Class,DUB to DMM via IST,September 2015,1,2,1,1,1,,4,no
1882,,Family Leisure,Business Class,LHR to LAX via IST,October 2015,3,5,5,3,3,4,3,yes
1883,,Business,Business Class,EBB to LHR via IST,October 2015,1,1,2,,1,,2,no
1884,,Couple Leisure,Business Class,Hong Kong to Istanbul,October 2015,2,2,2,2,2,1,3,no
1885,Boeing 777 / A321,Business,Business Class,ZRH to ICN via IST,October 2015,4,2,4,3,3,3,2,no
1886,,Couple Leisure,Economy Class,MAN to Ercan via IST,September 2015,5,5,5,5,5,,5,yes
1887,,Couple Leisure,Economy Class,ORD to BUD via IST,October 2015,4,5,5,5,4,,5,yes
1888,A330,Family Leisure,Economy Class,Istanbul to Jakarta,July 2015,3,3,3,1,1,,3,no
1889,,Business,Business Class,Dubai to Istanbul,October 2015,4,5,3,3,1,,4,yes
1890,A330-300,Business,Economy Class,Dubai to Istanbul,October 2015,4,4,5,4,3,,4,yes
1891,A320,Couple Leisure,Economy Class,Rome to Istanbul,October 2015,4,1,,,5,,2,yes
1892,Boeing 777-300ER  /  737-900,Business,Business Class,LHR to EBB via IST,October 2015,2,1,5,2,1,,2,no
1893,,Couple Leisure,Business Class,London to Istanbul,October 2015,2,3,3,2,2,,3,no
1894,,Business,Economy Class,Frankfurt to Istanbul,September 2015,2,1,2,1,2,,3,no
1895,,Business,Economy Class,IST to FRA,October 2015,1,1,,,1,,2,no
1896,,Couple Leisure,Economy Class,BUD to SFO via IST,October 2015,3,4,4,3,1,,4,yes
1897,,Family Leisure,Business Class,BOS to DAC via IST,September 2015,2,2,2,1,1,1,2,no
1898,,Couple Leisure,Economy Class,TLV to FRA via IST,September 2015,3,1,3,,1,,2,no
1899,,Family Leisure,Economy Class,Doha to Paris via IST,September 2015,1,1,2,,2,,1,no
1900,Boeing 737,Solo Leisure,Economy Class,Gatwick to Istanbul,September 2015,4,3,5,3,5,,5,yes
1901,Boeing 737 / A330,Business,Business Class,LIS to IAD via IST,September 2015,5,5,5,5,5,,5,yes
1902,,Solo Leisure,Economy Class,STO to TPE via IST,September 2015,1,2,3,4,2,,4,no
1903,,Couple Leisure,Economy Class,Istanbul to Bari,September 2015,4,5,5,5,4,,5,yes
1904,,Business,Economy Class,Istanbul to Ankara,July 2015,4,4,5,,3,,4,yes
1905,Boeing 737-800 / A330-200,Couple Leisure,Economy Class,LGW to MLE via IST,September 2015,3,4,5,4,3,,5,yes
1906,A330-300,Solo Leisure,Economy Class,IST to JFK,September 2015,4,5,5,3,4,,5,yes
1907,A320 / A330,Solo Leisure,Business Class,MAN to BKK,September 2015,5,5,5,5,1,,5,yes
1908,,Family Leisure,Economy Class,Karachi to Chicago via IST,February 2015,3,3,3,3,1,,1,no
1909,Boeing 737-800 / A330,Solo Leisure,Economy Class,Manchester to Bangkok,September 2015,5,5,5,5,5,,5,yes
1910,Boeing 777-300ER,Solo Leisure,Business Class,JFK to IST,September 2015,3,4,5,3,4,2,4,yes
1911,Boeing 777,Solo Leisure,Business Class,VCE to SFO via IST,September 2015,4,5,5,4,3,4,4,yes
1912,,Business,Economy Class,Helsinki to Istanbul,April 2015,5,5,5,5,4,,5,yes
1913,,Family Leisure,Economy Class,Entebbe to LHR via IST,August 2015,2,2,4,3,1,2,1,no
1914,,Solo Leisure,Economy Class,Antalya to Doha,July 2015,3,1,3,2,3,,1,no
1915,A321 / A330,Solo Leisure,Economy Class,DUS to BKK via IST,September 2015,3,3,3,3,1,,3,no
1916,A320-200,Couple Leisure,Business Class,Ercan to MAN via IST,September 2015,2,3,3,,2,,4,no
1917,A330 / A320,Couple Leisure,Business Class,Manchester to Ercan via IST,September 2015,3,3,5,,3,,4,yes
1918,,Solo Leisure,Economy Class,ZRH to KUL via IST,September 2015,,3,,,1,,3,no
1919,,Solo Leisure,Economy Class,LYS to TPE via IST,September 2015,3,1,,,1,,1,no
1920,,Business,Business Class,London to Ankara via IST,August 2015,1,1,1,1,1,1,1,no
1921,A330,Couple Leisure,Economy Class,DEL to BCN via IST,September 2015,3,3,4,4,4,,4,yes
1922,A330-300,Couple Leisure,Business Class,Istanbul to Zurich,September 2015,4,4,4,4,1,5,4,yes
1923,A318 / A330,Solo Leisure,Economy Class,Nice to Moscow via IST,September 2015,3,5,5,1,1,1,2,no
1924,A321,Solo Leisure,Economy Class,IST to LHR,July 2015,5,4,5,5,2,,5,yes
1925,,Family Leisure,Economy Class,Pisa to Istanbul,September 2015,2,2,,,1,,1,no
1926,,Family Leisure,Economy Class,Venice to Addis Ababa via IST,August 2015,3,1,1,1,1,1,1,no
1927,A330,Solo Leisure,Economy Class,Paris to Cape Town via IST,August 2015,4,5,3,5,3,5,5,yes
1928,,Solo Leisure,Economy Class,Istanbul to Bucharest,September 2015,1,1,1,,2,,2,no
1929,,Business,Business Class,istambul to bodrum,August 2015,1,2,,,1,,1,no
1930,Boeing 737-800 / A330,Solo Leisure,Economy Class,London to Bangkok via IST,September 2015,2,3,5,4,1,,4,no
1931,A321,Family Leisure,Economy Class,Amsterdam to Tabriz via IST,August 2015,3,1,3,4,1,,2,no
1932,,Couple Leisure,Economy Class,Antalya to Milan via Istanbul,July 2015,1,1,1,1,1,,3,no
1933,,Family Leisure,Economy Class,Moscow to Manila via IST,August 2015,2,4,4,3,1,3,1,no
1934,A340,Solo Leisure,Economy Class,Budapest to Taipei via Istanbul,September 2015,4,4,3,3,4,,4,yes
1935,A330 / Boeing 737,Couple Leisure,Economy Class,Singapore to Lisbon via IST,September 2015,1,5,5,3,5,,3,no
1936,Boeing 737-800,Solo Leisure,Economy Class,London to Istanbul,August 2015,4,4,4,4,3,,4,yes
1937,,Couple Leisure,Economy Class,Barcelona to Tokyo via IST,August 2015,4,4,4,5,2,3,4,yes
1938,,Couple Leisure,Economy Class,LAX-FRA via IST,July 2015,2,3,2,1,1,,2,no
1939,,Solo Leisure,Economy Class,Hannover to Isfahan via Istanbul,August 2015,1,3,,,1,,1,no
1940,,Business,Business Class,Bucharest to Tel Aviv via Istanbul,July 2015,2,4,2,4,1,4,2,no
